a	9	j
ab	9	n
abdominal	9	j n
able	9	j
ably	9	
about	9	a p
above	9	a j n p
absolute	9	j n
accepted	9	j
accompanied	9	j
according	9	j
account	9	n v vt
achieved	9	
acid	9	j n
acquired	9	j
across	9	a p
act	9	n v vi
acting	9	n
action	9	n v
actions	9	
active	9	j n
activities	9	
acts	9	
adapted	9	j
added	9	
addition	9	n
address	9	n v vt
adjective	9	j n
adorn	9	vt
advanced	9	j
advantage	9	n v
adverb	9	n
affairs	9	n
affected	9	j
affection	9	n
africa	9	
african	9	j
after	9	a p
again	9	a
against	9	p
age	9	n v
agreement	9	n
aid	9	n vt
air	9	n v
aircraft	9	n
airplane	9	n
akin	9	j
alaska	9	
ale	9	n
algae	9	
all	9	j
allows	9	
almost	9	a
alone	9	a j
along	9	a
also	9	a
altar	9	n
am	9	
america	9	
american	9	j
amino	9	j n
among	9	p
amount	9	n v vi
amounts	9	
an	9	c j
anatomy	9	n
anchor	9	n v
ancient	9	j n
and	9	c
anew	9	a
angle	9	n v
angles	9	ns
animal	9	n
animals	9	
annual	9	j n
another	9	j
ant	9	n
anti	9	j n
any	9	a j
anything	9	
apart	9	a
apparatus	9	n
appear	9	v vi
appearance	9	n
apple	9	n
application	9	n
applied	9	j
appointed	9	j
apt	9	j
arch	9	j n v
archaic	9	j
architecture	9	n
ard	9	
are	9	n
areas	9	
argument	9	n
arizona	9	
arm	9	n v
armed	9	j
armour	9	n
arms	9	
army	9	n
aromatic	9	j
around	9	a p
arrange	9	v vt
arranged	9	j
arrangement	9	n
art	9	n
arteries	9	
article	9	n v
articles	9	
artificial	9	j
arts	9	
as	9	n pn
ash	9	n v
asia	9	
aside	9	a n
asked	9	
assembly	9	n
assigned	9	j
associated	9	
assumed	9	j
astronomy	9	n
asunder	9	a
at	9	n p
atoms	9	
attached	9	j
attack	9	n v vt
attacks	9	
attention	9	n
australia	9	
australian	9	
authority	9	n
away	9	a j
axis	9	n
b	9	
back	9	a n v
backward	9	a j
bacon	9	n
bad	9	j n
bag	9	n v
baked	9	j
balance	9	n v
ball	9	n v
ban	9	n v
band	9	n v vt
bank	9	n v
bar	9	n v
bark	9	n v
base	9	j n v vt
based	9	j
basket	9	n
basketball	9	n
bat	9	n v
bath	9	n
battle	9	j n v
bc	9	
